"Spontaneous_deamination_of_5-methylcytosine"	"AID/APOBEC_family_of_cytidine_deaminases"	"Failure_of_DNA_double-strand_break-repair_by_homologous_recombination"	"Smoking"	"Unknown"	"Defective_DNA_mismatch_repair"	"Ultraviolet_light_exposure"	"Polymerase_activity"	"Alkylating_agents"	"Aristolochic_acid_exposure"	"Tobacco_chewing"
"TCGA-55-8508-01A"	0.142037102415038	0.0607013837120304	0	0.641953550705228	0	0.0667850489023514	0	0	0	0	0
"TCGA-05-4426-01A"	0.369894024651728	0	0	0	0.432035785956464	0	0	0	0	0	0
"TCGA-05-4402-01A"	0.127655856110383	0.516503636546538	0.218792504948689	0	0	0	0.0633619651702594	0	0	0	0
"TCGA-44-3918-01A"	0	0	0	0.787031156654105	0.0671561773283278	0	0	0	0	0	0
"TCGA-97-8172-01A"	0.130334788426426	0	0	0.610363249848442	0.135993206729917	0	0	0	0	0	0
"TCGA-86-8359-01A"	0.111221804184283	0	0	0.638567153342839	0.0612652075026565	0	0	0	0	0.0692215348426062	0
"TCGA-49-AAQV-01A"	0.0708695495506801	0.367389595687393	0.261427769961589	0	0	0.113913139486832	0	0	0.0947758135804379	0	0.0916241317330684
"TCGA-78-7147-01A"	0.0730986948496776	0.0723854167858698	0.135097722103408	0.432501745772079	0	0.115973870448148	0	0	0	0	0
"TCGA-64-1677-01A"	0.129518865316784	0.216533995435939	0.123325747498535	0	0.298025089646384	0.063344342439843	0	0	0	0	0
"TCGA-91-8497-01A"	0.350064650483359	0	0	0	0.363155853223819	0	0.219093691688147	0	0	0	0
"TCGA-86-8075-01A"	0.67459841023631	0	0	0	0	0.0996772900138876	0	0	0.148959610721561	0	0
"TCGA-50-5946-01A"	0	0.183199750196935	0	0.664243070222714	0	0.0895058136996549	0	0	0	0	0
"TCGA-49-AAR9-01A"	0.0667964424977284	0	0	0.81352103910142	0.0828794626693153	0	0	0	0	0	0
"TCGA-MP-A4TF-01A"	0	0	0	0.773762948462204	0.0642051167526144	0.0779938803502813	0	0	0	0	0
"TCGA-49-AAR4-01A"	0	0.127303652336398	0	0.636449646185635	0.0894797084397873	0	0.0640581233499905	0	0	0	0
"TCGA-86-7713-01A"	0.120314435650538	0	0	0.71851208054031	0	0	0.0999464858208303	0	0	0	0
"TCGA-78-8660-01A"	0	0.123344898809374	0	0.355618357123703	0.257527008022022	0	0	0	0	0	0
"TCGA-83-5908-01A"	0.0733722225683504	0.306968967890273	0.0769679420251251	0.508879951956146	0	0	0	0	0	0	0
"TCGA-55-6642-01A"	0	0	0	0.600567677249878	0	0.139416982590209	0	0.0701547404024205	0	0	0
"TCGA-55-6543-01A"	0.729415893262062	0	0	0	0.139033709831911	0	0.0781031542299911	0	0	0	0
"TCGA-17-Z056-01A"	0	0.130397319823139	0.168207794273649	0.54711945763739	0	0	0	0	0	0	0
"TCGA-05-4397-01A"	0	0.0792598437788825	0	0.561962714818197	0	0	0	0	0	0	0
"TCGA-17-Z013-01A"	0.157399189590635	0	0	0.328514406152108	0.25191295261674	0	0	0	0	0	0.0747998944278832
"TCGA-55-8621-01A"	0	0.0699024517100643	0	0.312845459680262	0.266345802323459	0.142357648298782	0	0	0	0.109048436923776	0
"TCGA-55-6978-01A"	0.469521347904083	0	0.26590144542934	0	0.154502607038341	0.110074599628236	0	0	0	0	0
"TCGA-44-2659-01A"	0	0	0	0.801174789229105	0	0	0	0	0	0	0
"TCGA-44-5643-01A"	0.282822781810157	0.0777121293292164	0.155447808505859	0	0.261432944527703	0.0800318803511897	0.0974062728550132	0	0	0	0
"TCGA-78-7156-01A"	0	0.306244955640865	0	0.239990380623996	0.170776386851029	0.0690355768651457	0.114057720851377	0	0	0	0
